Frequency,Magnitude,Phase
3.11,0.00198922409351341,-91.6416130562563
3.12,0.00203262169434904,-91.9229174952516
3.13,0.0020099241757387,-92.7730158453416
3.14,0.00204879768324156,-91.5170793461953
3.15,0.00203149850222277,-95.1868138635419
3.16,0.00200689632311872,-94.2709235272509
3.17,0.00191124648649279,-90.8810685827097
3.18,0.00185147446733456,-91.2889178585636
3.19,0.00193546567242514,-92.1504230892565
3.2,0.00201586218362153,-92.884477891491
3.21,0.00198391248322459,-95.9348864749554
3.22,0.00206779133317853,-94.6928933586049
3.23,0.00201813021319508,-93.370868025309
3.24,0.00202719049792311,-91.7346959509513
3.25,0.00206919292325064,-93.3422378565134
3.26,0.00205714625771598,-93.507494632648
3.27,0.00173727240157837,-94.3303796672864
3.28,0.0019860991035456,-95.2195045802241
3.29,0.00205055546290351,-96.2706826626933
3.3,0.00211356498517835,-95.4502966532528
3.31,0.00198271094173724,-94.730990941147
3.32,0.0020631530370239,-100.056206734952
3.33,0.00207255515055554,-97.2369360849345
3.34,0.00199041537583842,-96.8402291325435
3.35,0.00200114351724812,-94.4401164649991
3.36,0.00206449211608052,-94.7123900523295
3.37,0.00218829427492583,-106.954816049483
3.38,0.00219342210669065,-97.8228676852936
3.39,0.00207829449513941,-95.5412489467873
3.4,0.00199298082947185,-98.5079542817375
3.41,0.00199123364417653,-95.1882404044327
3.42,0.00214714765986692,-95.7717592477577
3.43,0.0020754668936088,-96.8370237516041
3.44,0.00204777207927969,-101.394112925823
3.45,0.00201867738578298,-98.2925765674324
3.46,0.00225526321017144,-89.5262601749455
3.47,0.00203574739612063,-97.3938152177129
3.48,0.00210546306118187,-97.3690862324612
3.49,0.00208836145592811,-99.9132383470549
3.5,0.00203569399631828,-105.399547076405
3.51,0.00217521991141225,-98.462947037089
3.52,0.00209264805623148,-101.384360625669
3.53,0.00213379208587438,-100.76864323161
3.54,0.00220033988192014,-97.7425031212653
3.55,0.00206809204508862,-101.037259064343
3.56,0.00217526916962409,-99.8940773580321
3.57,0.00179813340918996,-96.4497095724317
3.58,0.00307972397476072,-115.036214617783
3.59,0.00219610720858572,-103.271645140475
3.6,0.00215586898394126,-103.176604282491
3.61,0.00203011897001861,-101.239114617756
3.62,0.00210017390285535,-101.791520177122
3.63,0.00220290692358813,-104.20291504925
3.64,0.00169755528513347,-115.948468579794
3.65,0.00219058981036117,-104.890294810671
3.66,0.00216250127087317,-104.866113701864
3.67,0.00228368193590622,-106.50829749503
3.68,0.00217321966908198,-103.360542572355
3.69,0.00226512667882539,-105.535219134162
3.7,0.00219469112236616,-106.412306235445
3.71,0.00230102796535627,-103.354793573376
3.72,0.00231487209388573,-104.782735718077
3.73,0.00233608820858594,-108.019765557928
3.74,0.00295982259022336,-93.1096465837239
3.75,0.00221980276641065,-107.868870289239
3.76,0.00239711517077476,-95.5838597875251
3.77,0.00229473721482086,-110.250379093985
3.78,0.00230493070773454,-107.406426384027
3.79,0.00273357376786223,-104.652255952759
3.8,0.00229583556415642,-109.672217722273
3.81,0.00231087582355479,-112.361023447038
3.82,0.00236321473487409,-114.28554984613
3.83,0.00242771232881633,-113.88855019349
3.84,0.0023457506784026,-113.993207075939
3.85,0.00226491681736808,-111.678143250372
3.86,0.00248270075402617,-114.616339614809
3.87,0.0022037274441909,-110.846353732782
3.88,0.0023124096979518,-116.904450855788
3.89,0.00254971101193473,-118.286155178627
3.9,0.00231204739102509,-117.193976834313
3.91,0.00242333711773149,-119.863563555242
3.92,0.00223984111820546,-120.555315633987
3.93,0.00233873684541444,-118.535155185223
3.94,0.00269403555534345,-120.404906170434
3.95,0.00250039234901593,-119.980157059871
3.96,0.00237671955210203,-120.206887789115
3.97,0.00254062171202906,-122.169468167611
3.98,0.0027973761865435,-121.621409215049
3.99,0.00260980899532144,-122.989961067901
4,0.0025838652864981,-127.824105115224
4.01,0.00243021505686997,-126.450126188372
4.02,0.00241160498805946,-128.002312034787
4.03,0.00297743154698524,-125.37320378245
4.04,0.00254664146399116,-133.502324052548
4.05,0.00259049043869695,-136.667024747839
4.06,0.00257747707141066,-131.91196878243
4.07,0.00252949634866295,-140.203083607771
4.08,0.0025276401363543,-133.735281888411
4.09,0.00231940252221444,-134.611348116612
4.1,0.00236015180529621,-136.192845240278
4.11,0.0025248724939186,-139.472772610631
4.12,0.00239470953058522,-139.937358201836
4.13,0.00221012250818174,-136.143354037237
4.14,0.00218139345631473,-147.620049140635
4.15,0.00236904799236498,-139.668980245921
4.16,0.00226665573468613,-144.409265640009
4.17,0.00283353978946591,-149.409295668519
4.18,0.00225358334139616,-146.836722240367
4.19,0.00230346126479487,-151.218301900921
4.2,0.00264700548403761,-146.060760205497
4.21,0.00228096936381676,-149.885001093273
4.22,0.00223102810726771,-149.245144297105
4.23,0.00236108061182211,-152.044896114969
4.24,0.00209689174146617,-155.823937770292
4.25,0.00231221369913037,-157.038848482484
4.26,0.00216167416141235,-155.066481943328
4.27,0.00210757661990125,-160.409017604838
4.28,0.00224976349535121,-162.571617260933
4.29,0.00222871650907034,-164.41619377868
4.3,0.00184664424070303,-162.199466480211
4.31,0.00195955574086487,-161.627329539069
4.32,0.00182269024348079,-161.86401003448
4.33,0.00179929460624342,-167.457303361556
4.34,0.00127261279463022,-144.217336337172
4.35,0.00250224812094647,-180.373514892713
4.36,0.00162834595152766,-172.644397899399
4.37,0.00176115193954616,-168.178115002946
4.38,0.00145783314067412,-179.361571426304
4.39,0.0016050927885824,-167.818691548238
4.4,0.00167852635554715,-173.287521491551
4.41,0.00159628854419814,-174.241864280093
4.42,0.00155309133284947,-176.835599114549
4.43,0.00144560656359205,-176.888160590524
4.44,0.00139474445223765,-174.920681581331
4.45,0.00126155194767475,-178.547946350163
4.46,0.0012747821626877,-173.274553977586
